Logging to ./train/ppo1
---------------------------------
| rollout/           |          |
|    total_timesteps      | 375000     |
| train/                  |            |
|    approx_kl            | 0.04204333 |
|    clip_fraction        | 0.0868     |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.81      |
|    explained_variance   | 0.0765     |
|    learning_rate        | 1e-05      |
|    loss                 | 1.23e+03   |
|    n_updates            | 9100       |
|    policy_gradient_loss | -0.0216    |
|    value_loss           | 5e+03      |
----------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 8.87     |
|    ep_rew_mean     | -80.5    |
| time/              |          |
|    fps             | 188      |
|    iterations      | 92       |
|    time_elapsed    | 1996     |
|    total_timesteps | 376832   |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7.62        |
|    ep_rew_mean          | -88.3       |
| time/                   |             |
|    fps                  | 188         |
|    iterations           | 93          |
|    time_elapsed         | 2018        |
|    total_timesteps      | 380928      |
| train/                  |             |
|    approx_kl            | 0.009197256 |
|    clip_fraction        | 0.0965      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.83       |
|    explained_variance   | 0.0216      |
|    learning_rate        | 1e-05       |
|    loss                 | 947         |
|    n_updates            | 9200        |
|    policy_gradient_loss | -0.000353   |
|    value_loss           | 2.46e+03    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 6.95       |
|    ep_rew_mean          | -89.9      |
| time/                   |            |
|    fps                  | 188        |
|    iterations           | 94         |
|    time_elapsed         | 2040       |
|    total_timesteps      | 385024     |
| train/                  |            |
|    approx_kl            | 0.02011846 |
|    clip_fraction        | 0.0338     |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.83      |
|    explained_variance   | -0.0562    |
|    learning_rate        | 1e-05      |
|    loss                 | 748        |
|    n_updates            | 9300       |
|    policy_gradient_loss | -0.0118    |
|    value_loss           | 2.39e+03   |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 9.02         |
|    ep_rew_mean          | -84          |
| time/                   |              |
|    fps                  | 188          |
|    iterations           | 95           |
|    time_elapsed         | 2061         |
|    total_timesteps      | 389120       |
| train/                  |              |
|    approx_kl            | 0.0091274455 |
|    clip_fraction        | 0.0698       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.83        |
|    explained_variance   | 0.0632       |
|    learning_rate        | 1e-05        |
|    loss                 | 806          |
|    n_updates            | 9400         |
|    policy_gradient_loss | -0.00447     |
|    value_loss           | 2.05e+03     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 9.45        |
|    ep_rew_mean          | -109        |
| time/                   |             |
|    fps                  | 188         |
|    iterations           | 96          |
|    time_elapsed         | 2084        |
|    total_timesteps      | 393216      |
| train/                  |             |
|    approx_kl            | 0.020779513 |
|    clip_fraction        | 0.0521      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.83       |
|    explained_variance   | 0.0603      |
|    learning_rate        | 1e-05       |
|    loss                 | 1.07e+03    |
|    n_updates            | 9500        |
|    policy_gradient_loss | -0.0116     |
|    value_loss           | 3.09e+03    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 8.73       |
|    ep_rew_mean          | -74.2      |
| time/                   |            |
|    fps                  | 188        |
|    iterations           | 97         |
|    time_elapsed         | 2107       |
|    total_timesteps      | 397312     |
| train/                  |            |
|    approx_kl            | 0.03803201 |
|    clip_fraction        | 0.0472     |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.82      |
|    explained_variance   | -0.0437    |
|    learning_rate        | 1e-05      |
|    loss                 | 1.07e+03   |
|    n_updates            | 9600       |
|    policy_gradient_loss | -0.0176    |
|    value_loss           | 4.08e+03   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.12        |
|    ep_rew_mean          | -89         |
| time/                   |             |
|    fps                  | 188         |
|    iterations           | 98          |
|    time_elapsed         | 2129        |
|    total_timesteps      | 401408      |
| train/                  |             |
|    approx_kl            | 0.015970921 |
|    clip_fraction        | 0.0609      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.84       |
|    explained_variance   | -0.07       |
|    learning_rate        | 1e-05       |
|    loss                 | 897         |
|    n_updates            | 9700        |
|    policy_gradient_loss | -0.00997    |
|    value_loss           | 3.11e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.11        |
|    ep_rew_mean          | -97.1       |
| time/                   |             |
|    fps                  | 188         |
|    iterations           | 99          |
|    time_elapsed         | 2152        |
|    total_timesteps      | 405504      |
| train/                  |             |
|    approx_kl            | 0.018731643 |
|    clip_fraction        | 0.0741      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.83       |
|    explained_variance   | 0.00732     |
|    learning_rate        | 1e-05       |
|    loss                 | 1.15e+03    |
|    n_updates            | 9800        |
|    policy_gradient_loss | -0.0103     |
|    value_loss           | 3.28e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 9.07        |
|    ep_rew_mean          | -79.9       |
| time/                   |             |
|    fps                  | 188         |
|    iterations           | 100         |
|    time_elapsed         | 2175        |
|    total_timesteps      | 409600      |
| train/                  |             |
|    approx_kl            | 0.027883062 |
|    clip_fraction        | 0.0702      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.8        |
|    explained_variance   | 0.0301      |
|    learning_rate        | 1e-05       |
|    loss                 | 1.17e+03    |
|    n_updates            | 9900        |
|    policy_gradient_loss | -0.0155     |
|    value_loss           | 4.02e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.44        |
|    ep_rew_mean          | -73.1       |
| time/                   |             |
|    fps                  | 188         |
|    iterations           | 101         |
|    time_elapsed         | 2197        |
|    total_timesteps      | 413696      |
| train/                  |             |
|    approx_kl            | 0.009084896 |
|    clip_fraction        | 0.0875      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.8        |
|    explained_variance   | 0.0637      |
|    learning_rate        | 1e-05       |
|    loss                 | 959         |
|    n_updates            | 10000       |
|    policy_gradient_loss | 3.06e-05    |
|    value_loss           | 2.39e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 9.73        |
|    ep_rew_mean          | -91.4       |
| time/                   |             |
|    fps                  | 188         |
|    iterations           | 102         |
|    time_elapsed         | 2220        |
|    total_timesteps      | 417792      |
| train/                  |             |
|    approx_kl            | 0.009318661 |
|    clip_fraction        | 0.113       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.81       |
|    explained_variance   | -0.027      |
|    learning_rate        | 1e-05       |
|    loss                 | 810         |
|    n_updates            | 10100       |
|    policy_gradient_loss | -0.00485    |
|    value_loss           | 2.08e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 6.7         |
|    ep_rew_mean          | -80.9       |
| time/                   |             |
|    fps                  | 188         |
|    iterations           | 103         |
|    time_elapsed         | 2243        |
|    total_timesteps      | 421888      |
| train/                  |             |
|    approx_kl            | 0.011123171 |
|    clip_fraction        | 0.0848      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.82       |
|    explained_variance   | 0.155       |
|    learning_rate        | 1e-05       |
|    loss                 | 941         |
|    n_updates            | 10200       |
|    policy_gradient_loss | -0.00746    |
|    value_loss           | 2.17e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 9.65        |
|    ep_rew_mean          | -75.9       |
| time/                   |             |
|    fps                  | 187         |
|    iterations           | 104         |
|    time_elapsed         | 2265        |
|    total_timesteps      | 425984      |
| train/                  |             |
|    approx_kl            | 0.008638952 |
|    clip_fraction        | 0.0784      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.83       |
|    explained_variance   | 0.111       |
|    learning_rate        | 1e-05       |
|    loss                 | 1.07e+03    |
|    n_updates            | 10300       |
|    policy_gradient_loss | -0.00477    |
|    value_loss           | 2.5e+03     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 9.2         |
|    ep_rew_mean          | -81.4       |
| time/                   |             |
|    fps                  | 187         |
|    iterations           | 105         |
|    time_elapsed         | 2289        |
|    total_timesteps      | 430080      |
| train/                  |             |
|    approx_kl            | 0.007539126 |
|    clip_fraction        | 0.0201      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.82       |
|    explained_variance   | 0.101       |
|    learning_rate        | 1e-05       |
|    loss                 | 1.01e+03    |
|    n_updates            | 10400       |
|    policy_gradient_loss | -0.00106    |
|    value_loss           | 2.5e+03     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 14.1        |
|    ep_rew_mean          | -108        |
| time/                   |             |
|    fps                  | 187         |
|    iterations           | 106         |
|    time_elapsed         | 2312        |
|    total_timesteps      | 434176      |
| train/                  |             |
|    approx_kl            | 0.009247445 |
|    clip_fraction        | 0.111       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.8        |
|    explained_variance   | 0.172       |
|    learning_rate        | 1e-05       |
|    loss                 | 829         |
|    n_updates            | 10500       |
|    policy_gradient_loss | -0.00453    |
|    value_loss           | 2.11e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.25        |
|    ep_rew_mean          | -88.9       |
| time/                   |             |
|    fps                  | 187         |
|    iterations           | 107         |
|    time_elapsed         | 2335        |
|    total_timesteps      | 438272      |
| train/                  |             |
|    approx_kl            | 0.034065075 |
|    clip_fraction        | 0.155       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.79       |
|    explained_variance   | 0.0113      |
|    learning_rate        | 1e-05       |
|    loss                 | 1.73e+03    |
|    n_updates            | 10600       |
|    policy_gradient_loss | -0.0269     |
|    value_loss           | 7.19e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7.42        |
|    ep_rew_mean          | -78.3       |
| time/                   |             |
|    fps                  | 187         |
|    iterations           | 108         |
|    time_elapsed         | 2358        |
|    total_timesteps      | 442368      |
| train/                  |             |
|    approx_kl            | 0.015799547 |
|    clip_fraction        | 0.143       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.82       |
|    explained_variance   | -0.0358     |
|    learning_rate        | 1e-05       |
|    loss                 | 1.23e+03    |
|    n_updates            | 10700       |
|    policy_gradient_loss | -0.0128     |
|    value_loss           | 3.71e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 10          |
|    ep_rew_mean          | -90.4       |
| time/                   |             |
|    fps                  | 187         |
|    iterations           | 109         |
|    time_elapsed         | 2381        |
|    total_timesteps      | 446464      |
| train/                  |             |
|    approx_kl            | 0.014863317 |
|    clip_fraction        | 0.131       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.84       |
|    explained_variance   | 0.152       |
|    learning_rate        | 1e-05       |
|    loss                 | 841         |
|    n_updates            | 10800       |
|    policy_gradient_loss | -0.00402    |
|    value_loss           | 2.14e+03    |
-----------------------------------------
-----------------------------------------
| eval/                   |             |
|    mean_ep_length       | 29.4        |
|    mean_reward          | -680        |
| time/                   |             |
|    total_timesteps      | 450000      |
| train/                  |             |
|    approx_kl            | 0.013846292 |
|    clip_fraction        | 0.032       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.83       |
|    explained_variance   | 0.0701      |
|    learning_rate        | 1e-05       |
|    loss                 | 1.17e+03    |
|    n_updates            | 10900       |
|    policy_gradient_loss | -0.0159     |
|    value_loss           | 3.91e+03    |
-----------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 8.14     |
|    ep_rew_mean     | -87.6    |
| time/              |          |
|    fps             | 187      |
|    iterations      | 110      |
|    time_elapsed    | 2406     |
|    total_timesteps | 450560   |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 9.37        |
|    ep_rew_mean          | -91.7       |
| time/                   |             |
|    fps                  | 187         |
|    iterations           | 111         |
|    time_elapsed         | 2429        |
|    total_timesteps      | 454656      |
| train/                  |             |
|    approx_kl            | 0.016174488 |
|    clip_fraction        | 0.0567      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.84       |
|    explained_variance   | 0.0555      |
|    learning_rate        | 1e-05       |
|    loss                 | 1.14e+03    |
|    n_updates            | 11000       |
|    policy_gradient_loss | -0.012      |
|    value_loss           | 3.19e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 9.04        |
|    ep_rew_mean          | -99.8       |
| time/                   |             |
|    fps                  | 187         |
|    iterations           | 112         |
|    time_elapsed         | 2452        |
|    total_timesteps      | 458752      |
| train/                  |             |
|    approx_kl            | 0.015228398 |
|    clip_fraction        | 0.0378      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.83       |
|    explained_variance   | 0.0948      |
|    learning_rate        | 1e-05       |
|    loss                 | 983         |
|    n_updates            | 11100       |
|    policy_gradient_loss | -0.0104     |
|    value_loss           | 3.4e+03     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.21        |
|    ep_rew_mean          | -78.9       |
| time/                   |             |
|    fps                  | 186         |
|    iterations           | 113         |
|    time_elapsed         | 2475        |
|    total_timesteps      | 462848      |
| train/                  |             |
|    approx_kl            | 0.014986685 |
|    clip_fraction        | 0.0394      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.8        |
|    explained_variance   | -0.0844     |
|    learning_rate        | 1e-05       |
|    loss                 | 875         |
|    n_updates            | 11200       |
|    policy_gradient_loss | -0.0105     |
|    value_loss           | 2.99e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.9         |
|    ep_rew_mean          | -102        |
| time/                   |             |
|    fps                  | 186         |
|    iterations           | 114         |
|    time_elapsed         | 2497        |
|    total_timesteps      | 466944      |
| train/                  |             |
|    approx_kl            | 0.008398661 |
|    clip_fraction        | 0.065       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.8        |
|    explained_variance   | 0.101       |
|    learning_rate        | 1e-05       |
|    loss                 | 748         |
|    n_updates            | 11300       |
|    policy_gradient_loss | -0.0013     |
|    value_loss           | 2.22e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 9.04        |
|    ep_rew_mean          | -95.9       |
| time/                   |             |
|    fps                  | 186         |
|    iterations           | 115         |
|    time_elapsed         | 2520        |
|    total_timesteps      | 471040      |
| train/                  |             |
|    approx_kl            | 0.020851528 |
|    clip_fraction        | 0.0465      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.8        |
|    explained_variance   | 0.00309     |
|    learning_rate        | 1e-05       |
|    loss                 | 929         |
|    n_updates            | 11400       |
|    policy_gradient_loss | -0.017      |
|    value_loss           | 3.25e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7.85        |
|    ep_rew_mean          | -77.7       |
| time/                   |             |
|    fps                  | 186         |
|    iterations           | 116         |
|    time_elapsed         | 2543        |
|    total_timesteps      | 475136      |
| train/                  |             |
|    approx_kl            | 0.016935948 |
|    clip_fraction        | 0.0518      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.83       |
|    explained_variance   | 0.0904      |
|    learning_rate        | 1e-05       |
|    loss                 | 928         |
|    n_updates            | 11500       |
|    policy_gradient_loss | -0.0122     |
|    value_loss           | 2.62e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.24        |
|    ep_rew_mean          | -83.1       |
| time/                   |             |
|    fps                  | 186         |
|    iterations           | 117         |
|    time_elapsed         | 2565        |
|    total_timesteps      | 479232      |
| train/                  |             |
|    approx_kl            | 0.008536214 |
|    clip_fraction        | 0.0613      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.85       |
|    explained_variance   | 0.141       |
|    learning_rate        | 1e-05       |
|    loss                 | 1.03e+03    |
|    n_updates            | 11600       |
|    policy_gradient_loss | -0.00337    |
|    value_loss           | 2.22e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 9.5         |
|    ep_rew_mean          | -86.4       |
| time/                   |             |
|    fps                  | 186         |
|    iterations           | 118         |
|    time_elapsed         | 2588        |
|    total_timesteps      | 483328      |
| train/                  |             |
|    approx_kl            | 0.010880757 |
|    clip_fraction        | 0.0377      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.84       |
|    explained_variance   | -0.0341     |
|    learning_rate        | 1e-05       |
|    loss                 | 865         |
|    n_updates            | 11700       |
|    policy_gradient_loss | -0.0107     |
|    value_loss           | 3.07e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7.49        |
|    ep_rew_mean          | -75.8       |
| time/                   |             |
|    fps                  | 186         |
|    iterations           | 119         |
|    time_elapsed         | 2610        |
|    total_timesteps      | 487424      |
| train/                  |             |
|    approx_kl            | 0.008067193 |
|    clip_fraction        | 0.0571      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.85       |
|    explained_variance   | 0.0782      |
|    learning_rate        | 1e-05       |
|    loss                 | 1e+03       |
|    n_updates            | 11800       |
|    policy_gradient_loss | -0.00469    |
|    value_loss           | 2.3e+03     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 10.2        |
|    ep_rew_mean          | -111        |
| time/                   |             |
|    fps                  | 186         |
|    iterations           | 120         |
|    time_elapsed         | 2633        |
|    total_timesteps      | 491520      |
| train/                  |             |
|    approx_kl            | 0.013308035 |
|    clip_fraction        | 0.0562      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.83       |
|    explained_variance   | 0.00843     |
|    learning_rate        | 1e-05       |
|    loss                 | 984         |
|    n_updates            | 11900       |
|    policy_gradient_loss | -0.0113     |
|    value_loss           | 2.67e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.82        |
|    ep_rew_mean          | -84.5       |
| time/                   |             |
|    fps                  | 186         |
|    iterations           | 121         |
|    time_elapsed         | 2655        |
|    total_timesteps      | 495616      |
| train/                  |             |
|    approx_kl            | 0.028759222 |
|    clip_fraction        | 0.0702      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.83       |
|    explained_variance   | 0.048       |
|    learning_rate        | 1e-05       |
|    loss                 | 1.14e+03    |
|    n_updates            | 12000       |
|    policy_gradient_loss | -0.0222     |
|    value_loss           | 4.1e+03     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5.91        |
|    ep_rew_mean          | -88.2       |
| time/                   |             |
|    fps                  | 186         |
|    iterations           | 122         |
|    time_elapsed         | 2677        |
|    total_timesteps      | 499712      |
| train/                  |             |
|    approx_kl            | 0.009417608 |
|    clip_fraction        | 0.0988      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.84       |
|    explained_variance   | -0.0985     |
|    learning_rate        | 1e-05       |
|    loss                 | 911         |
|    n_updates            | 12100       |
|    policy_gradient_loss | -0.00608    |
|    value_loss           | 2.18e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7.67        |
|    ep_rew_mean          | -75.3       |
| time/                   |             |
|    fps                  | 186         |
|    iterations           | 123         |
|    time_elapsed         | 2700        |
|    total_timesteps      | 503808      |
| train/                  |             |
|    approx_kl            | 0.011803749 |
|    clip_fraction        | 0.101       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.84       |
|    explained_variance   | 0.135       |
|    learning_rate        | 1e-05       |
|    loss                 | 1.19e+03    |
|    n_updates            | 12200       |
|    policy_gradient_loss | -0.00551    |
|    value_loss           | 2.51e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 9.5         |
|    ep_rew_mean          | -87         |
| time/                   |             |
|    fps                  | 186         |
|    iterations           | 124         |
|    time_elapsed         | 2722        |
|    total_timesteps      | 507904      |
| train/                  |             |
|    approx_kl            | 0.012649423 |
|    clip_fraction        | 0.0409      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.84       |
|    explained_variance   | -0.0454     |
|    learning_rate        | 1e-05       |
|    loss                 | 1.17e+03    |
|    n_updates            | 12300       |
|    policy_gradient_loss | -0.0112     |
|    value_loss           | 3.32e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.65        |
|    ep_rew_mean          | -98.9       |
| time/                   |             |
|    fps                  | 186         |
|    iterations           | 125         |
|    time_elapsed         | 2747        |
|    total_timesteps      | 512000      |
| train/                  |             |
|    approx_kl            | 0.008958962 |
|    clip_fraction        | 0.0877      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.81       |
|    explained_variance   | 0.141       |
|    learning_rate        | 1e-05       |
|    loss                 | 889         |
|    n_updates            | 12400       |
|    policy_gradient_loss | -0.00558    |
|    value_loss           | 2.22e+03    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 10.1       |
|    ep_rew_mean          | -78.1      |
| time/                   |            |
|    fps                  | 186        |
|    iterations           | 126        |
|    time_elapsed         | 2770       |
|    total_timesteps      | 516096     |
| train/                  |            |
|    approx_kl            | 0.00938995 |
|    clip_fraction        | 0.0238     |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.79      |
|    explained_variance   | 0.0122     |
|    learning_rate        | 1e-05      |
|    loss                 | 1.01e+03   |
|    n_updates            | 12500      |
|    policy_gradient_loss | -0.0105    |
|    value_loss           | 3.14e+03   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 6.03        |
|    ep_rew_mean          | -95.4       |
| time/                   |             |
|    fps                  | 186         |
|    iterations           | 127         |
|    time_elapsed         | 2794        |
|    total_timesteps      | 520192      |
| train/                  |             |
|    approx_kl            | 0.012076808 |
|    clip_fraction        | 0.0926      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.82       |
|    explained_variance   | 0.0831      |
|    learning_rate        | 1e-05       |
|    loss                 | 996         |
|    n_updates            | 12600       |
|    policy_gradient_loss | -0.00439    |
|    value_loss           | 2.46e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.51        |
|    ep_rew_mean          | -81.4       |
| time/                   |             |
|    fps                  | 186         |
|    iterations           | 128         |
|    time_elapsed         | 2818        |
|    total_timesteps      | 524288      |
| train/                  |             |
|    approx_kl            | 0.014777467 |
|    clip_fraction        | 0.0394      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.83       |
|    explained_variance   | 0.11        |
|    learning_rate        | 1e-05       |
|    loss                 | 1.07e+03    |
|    n_updates            | 12700       |
|    policy_gradient_loss | -0.0126     |
|    value_loss           | 2.86e+03    |
-----------------------------------------
-----------------------------------------
| eval/                   |             |
|    mean_ep_length       | 30.5        |
|    mean_reward          | -1.02e+03   |
| time/                   |             |
|    total_timesteps      | 525000      |
| train/                  |             |
|    approx_kl            | 0.007922297 |
|    clip_fraction        | 0.0379      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.82       |
|    explained_variance   | 0.146       |
|    learning_rate        | 1e-05       |
|    loss                 | 877         |
|    n_updates            | 12800       |
|    policy_gradient_loss | -0.00379    |
|    value_loss           | 2.14e+03    |
-----------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 8.92     |
|    ep_rew_mean     | -83.7    |
| time/              |          |
|    fps             | 185      |
|    iterations      | 129      |
|    time_elapsed    | 2844     |
|    total_timesteps | 528384   |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7.99        |
|    ep_rew_mean          | -88.5       |
| time/                   |             |
|    fps                  | 185         |
|    iterations           | 130         |
|    time_elapsed         | 2868        |
|    total_timesteps      | 532480      |
| train/                  |             |
|    approx_kl            | 0.019977722 |
|    clip_fraction        | 0.0467      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.82       |
|    explained_variance   | 0.0248      |
|    learning_rate        | 1e-05       |
|    loss                 | 1.21e+03    |
|    n_updates            | 12900       |
|    policy_gradient_loss | -0.014      |
|    value_loss           | 3.08e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 6.77        |
|    ep_rew_mean          | -83.5       |
| time/                   |             |
|    fps                  | 185         |
|    iterations           | 131         |
|    time_elapsed         | 2891        |
|    total_timesteps      | 536576      |
| train/                  |             |
|    approx_kl            | 0.007935131 |
|    clip_fraction        | 0.0321      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.83       |
|    explained_variance   | 0.12        |
|    learning_rate        | 1e-05       |
|    loss                 | 831         |
|    n_updates            | 13000       |
|    policy_gradient_loss | -0.00356    |
|    value_loss           | 2.09e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 11.3        |
|    ep_rew_mean          | -96.3       |
| time/                   |             |
|    fps                  | 185         |
|    iterations           | 132         |
|    time_elapsed         | 2915        |
|    total_timesteps      | 540672      |
| train/                  |             |
|    approx_kl            | 0.010777988 |
|    clip_fraction        | 0.123       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.83       |
|    explained_variance   | 0.0214      |
|    learning_rate        | 1e-05       |
|    loss                 | 827         |
|    n_updates            | 13100       |
|    policy_gradient_loss | -0.00602    |
|    value_loss           | 2.07e+03    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 8.26       |
|    ep_rew_mean          | -80.7      |
| time/                   |            |
|    fps                  | 185        |
|    iterations           | 133        |
|    time_elapsed         | 2939       |
|    total_timesteps      | 544768     |
| train/                  |            |
|    approx_kl            | 0.02162264 |
|    clip_fraction        | 0.0688     |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.8       |
|    explained_variance   | -0.0932    |
|    learning_rate        | 1e-05      |
|    loss                 | 1.2e+03    |
|    n_updates            | 13200      |
|    policy_gradient_loss | -0.0221    |
|    value_loss           | 5.6e+03    |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7.14        |
|    ep_rew_mean          | -83.2       |
| time/                   |             |
|    fps                  | 185         |
|    iterations           | 134         |
|    time_elapsed         | 2963        |
|    total_timesteps      | 548864      |
| train/                  |             |
|    approx_kl            | 0.011884013 |
|    clip_fraction        | 0.123       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.82       |
|    explained_variance   | 0.0723      |
|    learning_rate        | 1e-05       |
|    loss                 | 900         |
|    n_updates            | 13300       |
|    policy_gradient_loss | -0.00681    |
|    value_loss           | 2.14e+03    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 9.79         |
|    ep_rew_mean          | -94.3        |
| time/                   |              |
|    fps                  | 185          |
|    iterations           | 135          |
|    time_elapsed         | 2987         |
|    total_timesteps      | 552960       |
| train/                  |              |
|    approx_kl            | 0.0108741205 |
|    clip_fraction        | 0.121        |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.82        |
|    explained_variance   | 0.133        |
|    learning_rate        | 1e-05        |
|    loss                 | 956          |
|    n_updates            | 13400        |
|    policy_gradient_loss | -0.00565     |
|    value_loss           | 2.23e+03     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 10.4        |
|    ep_rew_mean          | -77.9       |
| time/                   |             |
|    fps                  | 184         |
|    iterations           | 136         |
|    time_elapsed         | 3011        |
|    total_timesteps      | 557056      |
| train/                  |             |
|    approx_kl            | 0.010242419 |
|    clip_fraction        | 0.0402      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.83       |
|    explained_variance   | -0.0878     |
|    learning_rate        | 1e-05       |
|    loss                 | 1.17e+03    |
|    n_updates            | 13500       |
|    policy_gradient_loss | -0.0101     |
|    value_loss           | 3.68e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
